
央视频,#genre#
空中课堂七年级,http://dp.sxtv.top:88/2b/bestv.php?id=kzkt7
空中课堂八年级,http://dp.sxtv.top:88/2b/bestv.php?id=kzkt8
空中课堂九年级,http://dp.sxtv.top:88/2b/bestv.php?id=kzkt9
空中课堂高一,http://dp.sxtv.top:88/2b/bestv.php?id=kzktg1
空中课堂高二,http://dp.sxtv.top:88/2b/bestv.php?id=kzktg2
空中课堂高三,http://dp.sxtv.top:88/2b/bestv.php?id=kzktg3

咪咕,#genre#
CCTV1综合,http://dp.sxtv.top:88/2b/migu.php?id=cctv1
CCTV2财经,http://dp.sxtv.top:88/2b/migu.php?id=cctv2
CCTV3综艺,http://dp.sxtv.top:88/2b/migu.php?id=cctv3
CCTV4中文国际,http://dp.sxtv.top:88/2b/migu.php?id=cctv4
CCTV4美洲,http://dp.sxtv.top:88/2b/migu.php?id=cctv4a
CCTV4欧洲,http://dp.sxtv.top:88/2b/migu.php?id=cctv4o
CCTV5体育,http://dp.sxtv.top:88/2b/migu.php?id=cctv5
CCTV5+体育赛事,http://dp.sxtv.top:88/2b/migu.php?id=cctv5p
CCTV6电影,http://dp.sxtv.top:88/2b/migu.php?id=cctv6
CCTV7国防军事,http://dp.sxtv.top:88/2b/migu.php?id=cctv7
CCTV8电视剧,http://dp.sxtv.top:88/2b/migu.php?id=cctv8
CCTV9纪录,http://dp.sxtv.top:88/2b/migu.php?id=cctv9
CCTV10科教,http://dp.sxtv.top:88/2b/migu.php?id=cctv10
CCTV11戏曲,http://dp.sxtv.top:88/2b/migu.php?id=cctv11
CCTV12社会与法,http://dp.sxtv.top:88/2b/migu.php?id=cctv12
CCTV13新闻,http://dp.sxtv.top:88/2b/migu.php?id=cctv13
CCTV14少儿,http://dp.sxtv.top:88/2b/migu.php?id=cctv14
CCTV15音乐,http://dp.sxtv.top:88/2b/migu.php?id=cctv15
CCTV17农业农村,http://dp.sxtv.top:88/2b/migu.php?id=cctv17
CCTV发现之旅,http://dp.sxtv.top:88/2b/migu.php?id=fxzl
CCTV老故事,http://dp.sxtv.top:88/2b/migu.php?id=lgs
CCTV中学生,http://dp.sxtv.top:88/2b/migu.php?id=zxs
CGTN,http://dp.sxtv.top:88/2b/migu.php?id=cgtn
CGTN纪录,http://dp.sxtv.top:88/2b/migu.php?id=cgtnjl
CCTV西班牙语,http://dp.sxtv.top:88/2b/migu.php?id=cgtne
CCTV法语,http://dp.sxtv.top:88/2b/migu.php?id=cgtnf
CCTV阿拉伯语,http://dp.sxtv.top:88/2b/migu.php?id=cgtna
CCTV俄语,http://dp.sxtv.top:88/2b/migu.php?id=cgtnr
东方卫视x,http://dp.sxtv.top:88/2b/migu.php?id=dfws
